player_name,player_id,,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Leandro Bolmaro,bolmale01,2022,530,241,-4.848980197,0.373377783,-4.475602415,-5.817937893,6.812410412,0.994472519,-5.373845599,1.744560615,-3.629284984,-0.108262601,-0.108262601,0,-4.755073677,0.050811199,-4.704262478,0.13624912
Isaac Bonga,bongais01,2022,159,72,-1.709907209,2.246934152,0.537026943,-14.29540705,5.263528206,-9.031878848,-4.492407184,2.985348492,-1.507058692,0.045223823,0.037935799,0.007288024,-2.982862446,3.322277343,0.339414897,1.147009927
Devin Booker,bookede01,2022,5659,2711,4.060074135,0.353134572,4.413208707,3.621238265,-1.3207165,2.300521764,4.1251606,-0.019035263,4.106125337,9.531978641,9.068928828,0.463049812,3.934825138,0.540527668,4.475352806,1.031086001
Brandon Boston Jr.,bostobr01,2022,1610,760,-1.877439842,-1.247734891,-3.125174734,-4.630711978,1.503159585,-3.127552393,-2.541980395,-0.781997858,-3.323978253,-0.222928916,-0.222928916,0,-2.921154595,-1.469489155,-4.39064375,0.165217995
Chris Boucher,bouchch01,2022,3690,1820,-0.232044228,-0.014730141,-0.246774369,1.328453771,4.479290254,5.807744025,0.064329243,0.911790225,0.976119468,3.476779178,2.983113226,0.493665953,0.483653284,0.613558405,1.097211688,-0.280194915
James Bouknight,bouknja01,2022,657,304,-1.574479732,-5.307878293,-6.882358025,-4.903016053,-2.270695755,-7.173711809,-2.389069415,-4.973059238,-7.362128653,-0.715916747,-0.715916747,0,-2.356034482,-4.884141512,-7.240175993,0.079950234
Avery Bradley,bradlav01,2022,2958,1406,-2.597720448,-1.362437907,-3.960158356,-2.965726692,0.747358035,-2.218368658,-2.816716114,-0.97931697,-3.796033084,-0.748355186,-0.748355186,0,-3.02515478,-0.747569895,-3.772724674,-0.267537227
Tony Bradley,bradlto01,2022,1184,557,-3.193761795,3.126733661,-0.067028134,1.325676055,4.431185883,5.756861938,-2.437017194,3.627789268,1.190772074,1.097633544,0.948746624,0.14888692,-2.67391135,1.163973173,-1.509938176,-0.380866569
Ignas Brazdeikis,brazdig01,2022,1134,536,-1.594468721,-2.60905189,-4.203520611,-1.901840561,-3.818223971,-5.720064533,-1.647109485,-2.984383922,-4.631493406,-0.514265044,-0.514265044,0,-2.678665148,-4.023604106,-6.702269254,-0.050861697
Mikal Bridges,bridgmi01,2022,6950,3354,0.283241088,1.130026838,1.413267926,7.527878624,0.084136117,7.612014741,1.790096472,0.942666776,2.732763248,9.382802883,7.836241975,1.546560908,1.603022712,1.505710594,3.108733306,-0.54932621
